Symbol	hgnc_id
GPR78	HGNC:4528
ZNF544	HGNC:16759
BMP10	HGNC:20869
RBMS3	HGNC:13427
RAB30	HGNC:9770
KCNMB4	HGNC:6289
CECR3	HGNC:1841
CECR2	HGNC:1840
TRDJ4	HGNC:12260
TRDJ3	HGNC:12259
TRDJ2	HGNC:12258
TRDD2	HGNC:12255
TRDD1	HGNC:12254
TRAJ61	HGNC:12094
TRAJ59	HGNC:12091
TRAJ58	HGNC:12090
TRAJ57	HGNC:12089
TRAJ56	HGNC:12088
TRAJ55	HGNC:12087
TRAJ54	HGNC:12086
TRAJ53	HGNC:12085
TRAJ52	HGNC:12084
TRAJ51	HGNC:12083
TRAJ50	HGNC:12082
TRAJ49	HGNC:12080
TRAJ48	HGNC:12079
TRAJ47	HGNC:12078
TRAJ46	HGNC:12077
TRAJ45	HGNC:12076
TRAJ44	HGNC:12075
TRAJ43	HGNC:12074
TRAJ42	HGNC:12073
TRAJ41	HGNC:12072
TRAJ40	HGNC:12071
TRAJ39	HGNC:12069
TRAJ38	HGNC:12068
TRAJ37	HGNC:12067
TRAJ36	HGNC:12066
TRAJ35	HGNC:12065
TRAJ34	HGNC:12064
TRAJ33	HGNC:12063
TRAJ32	HGNC:12062
TRAJ31	HGNC:12061
TRAJ30	HGNC:12060
TRAJ29	HGNC:12058
TRAJ28	HGNC:12057
TRAJ27	HGNC:12056
TRAJ26	HGNC:12055
TRAJ25	HGNC:12054
TRAJ24	HGNC:12053
TRAJ23	HGNC:12052
TRAJ22	HGNC:12051
TRAJ21	HGNC:12050
TRAJ20	HGNC:12049
TRAJ19	HGNC:12047
TRAJ18	HGNC:12046
TRAJ17	HGNC:12045
TRAJ16	HGNC:12044
TRAJ15	HGNC:12043
TRAJ14	HGNC:12042
TRAJ13	HGNC:12041
TRAJ12	HGNC:12040
TRAJ11	HGNC:12039
TRAJ10	HGNC:12038
TRAJ9	HGNC:12097
TRAJ8	HGNC:12096
TRAJ7	HGNC:12095
TRAJ6	HGNC:12092
TRAJ5	HGNC:12081
TRAJ4	HGNC:12070
TRAJ3	HGNC:12059
TRAJ2	HGNC:12048
TRAJ1	HGNC:12037
IGLJ6	HGNC:5868
IGLJ5	HGNC:5867
IGLJ4	HGNC:5866
C11orf21	HGNC:13231
SDHDP6	HGNC:10689
SDHDP5	HGNC:10688
SDHDP4	HGNC:10687
SDHDP3	HGNC:10686
MAP2K1P1	HGNC:6841
SNX11	HGNC:14975
EPN1	HGNC:21604
SNX12	HGNC:14976
DNMT3L	HGNC:2980
LMCD1	HGNC:6633
FSCN3	HGNC:3961
HUNK	HGNC:13326
SOX8	HGNC:11203
CECR9	HGNC:1847
CLDN20	HGNC:2042
G0S2	HGNC:30229
COL5A3	HGNC:14864
VILL	HGNC:30906
RPS27L	HGNC:18476
KLHL5	HGNC:6356
PBX3-DT	HGNC:24638
ZNF580	HGNC:29473
VPS28	HGNC:18178
DBR1	HGNC:15594
GLTP	HGNC:24867
VRK3	HGNC:18996
ANKRD39	HGNC:28640
FAM178B	HGNC:28036
CYP39A1	HGNC:17449
AMZ2	HGNC:28041
SNX7	HGNC:14971
WNT16	HGNC:16267
CINP	HGNC:23789
RAB6B	HGNC:14902
MBIP	HGNC:20427
ERVH-6	HGNC:39058
PCF11	HGNC:30097
NLK	HGNC:29858
RAB8B	HGNC:30273
TM7SF3	HGNC:23049
TM6SF2	HGNC:11861
TM6SF1	HGNC:11860
NUP54	HGNC:17359
MBD3	HGNC:6918
FXYD7	HGNC:4034
