Gene	log10_ci_low	log10_ci_high	log10_map	group	group2
SCP2D1	-6.21726342	-1.87785383	-4.17727998	Autosome	Autosome
SCPEP1	-6.06713772	-2.07402601	-3.78395491	Autosome	Autosome
SCRG1	-5.93360801	-0.14895903	-1.08042358	Autosome	Autosome
SCRIB	-1.65205888	-0.98932603	-1.33434964	Autosome	Autosome
SCRN1	-5.44707311	-0.96096227	-1.65705738	Autosome	Autosome
SCRN2	-6.18766891	-2.30117633	-3.78976843	Autosome	Autosome
SCRN3	-6.16014993	-2.05131769	-4.35895254	Autosome	Autosome
SCRT1	-4.51654994	-0.00611487	-0.88172016	Autosome	Autosome
SCRT2	-3.62341549	-0.00587027	-0.86233532	Autosome	Autosome
SCTR	-6.0244321	-2.007066	-3.03378086	Autosome	Autosome
SCUBE1	-1.44309105	-0.59086101	-1.01229647	Autosome	Autosome
SCUBE2	-5.94727642	-2.05895222	-2.78190316	Autosome	Autosome
SCUBE3	-0.90361825	-0.05368702	-0.40113199	Autosome	Autosome
SCYL1	-2.03919398	-1.22340341	-1.56665955	Autosome	Autosome
SCYL2	-1.90618558	-1.10992738	-1.47614419	Autosome	Autosome
SCYL3	-4.87069313	-1.33930907	-1.90693031	Autosome	Autosome
SDAD1	-3.1057255	-1.42472636	-1.8653333	Autosome	Autosome
SDC1	-5.99707011	-1.26296753	-1.94556528	Autosome	Autosome
SDC2	-5.31588967	-0.25031676	-1.2847402	Autosome	Autosome
SDC3	-2.30920143	-0.00683883	-0.81734427	Autosome	Autosome
SDC4	-6.21437278	-2.32077021	-3.5455365	Autosome	Autosome
SDCBP	-6.08889713	-1.59374668	-2.2025008	Autosome	Autosome
SDCBP2	-6.17880253	-2.50077963	-4.71644423	Autosome	Autosome
SDCCAG3	-6.10682556	-1.9871752	-2.97454154	Autosome	Autosome
SDCCAG8	-6.03254502	-1.95382823	-2.62904713	Autosome	Autosome
SDE2	-5.78052154	-1.53386846	-2.1100716	Autosome	Autosome
SDF2	-5.36045714	-0.5840704	-1.47467453	Autosome	Autosome
SDF2L1	-4.34300904	-0.00212076	-0.89809318	Autosome	Autosome
SDF4	-4.10582229	-0.42233519	-1.3981893	Autosome	Autosome
SDHA	-5.94965874	-2.02138327	-3.28165583	Autosome	Autosome
SDHAF1	-6.20691778	-0.35434836	-1.38422035	Autosome	Autosome
SDHAF2	-6.22862576	-2.50649501	-4.46772813	Autosome	Autosome
SDHB	-5.9425179	-1.65162984	-2.25109214	Autosome	Autosome
SDHC	-6.14393046	-1.93545665	-3.28739448	Autosome	Autosome
SDHD	-1.62826188	-0.07132057	-0.74819836	Autosome	Autosome
SDK1	-1.73058139	-1.23785233	-1.46879993	Autosome	Autosome
SDK2	-1.62887539	-1.11202938	-1.37464426	Autosome	Autosome
SDPR	-5.96806526	-1.38454286	-2.09338842	Autosome	Autosome
SDR16C5	-1.68873856	-0.06761105	-0.7742903	Autosome	Autosome
SDR39U1	-6.11681546	-1.9818806	-2.81126212	Autosome	Autosome
SDR9C7	-5.83858344	-0.97223624	-1.69806956	Autosome	Autosome
SDS	-6.10696947	-1.68287805	-2.4815713	Autosome	Autosome
SDSL	-6.17590954	-2.31348968	-3.1365155	Autosome	Autosome
SEC11A	-2.19232003	-0.5108129	-1.29793349	Autosome	Autosome
SEC11C	-3.35462266	-0.00299406	-0.84419862	Autosome	Autosome
SEC13	-2.68285981	-0.85245366	-1.52785742	Autosome	Autosome
SEC14L1	-1.7403575	-0.85552604	-1.30320381	Autosome	Autosome
SEC14L2	-4.69211824	-1.19449124	-1.77118259	Autosome	Autosome
SEC14L3	-6.06138785	-2.09925557	-3.15694343	Autosome	Autosome
SEC14L4	-6.0751473	-2.18745421	-3.05407007	Autosome	Autosome
SEC14L5	-5.86558148	-1.69823019	-2.28653389	Autosome	Autosome
SEC16A	-1.90345524	-1.32848401	-1.58348897	Autosome	Autosome
SEC16B	-6.03889091	-2.03347785	-3.37944661	Autosome	Autosome
SEC22A	-2.02379989	-0.55119319	-1.28383941	Autosome	Autosome
SEC22C	-6.20156625	-2.28951941	-3.45256036	Autosome	Autosome
SEC23A	-2.73912967	-1.44880536	-1.83691072	Autosome	Autosome
SEC23B	-5.92733813	-1.88391438	-2.80332129	Autosome	Autosome
SEC23IP	-6.01800892	-1.95329064	-2.91185178	Autosome	Autosome
SEC24A	-1.99574898	-1.31303609	-1.61351152	Autosome	Autosome
SEC24B	-1.24244187	-0.36677869	-0.82306186	Autosome	Autosome
SEC24C	-1.43221094	-0.5891421	-1.0438901	Autosome	Autosome
SEC24D	-2.06783523	-1.31035154	-1.61636076	Autosome	Autosome
SEC31A	-3.17605394	-1.42657178	-1.93233288	Autosome	Autosome
SEC31B	-5.93316378	-1.95906989	-2.77729461	Autosome	Autosome
SEC61A1	-1.11335162	-0.07281754	-0.54941313	Autosome	Autosome
SEC61A2	-1.65833796	-0.71204602	-1.20674419	Autosome	Autosome
SEC61B	-4.58023605	-0.00991963	-0.89769006	Autosome	Autosome
SEC61G	-5.87015455	-0.14701341	-1.08857762	Autosome	Autosome
SEC62	-1.52402524	-0.32794138	-0.91100552	Autosome	Autosome
SEC63	-2.33738299	-1.42607356	-1.74261246	Autosome	Autosome
SECISBP2	-5.2153555	-1.35956968	-2.03209046	Autosome	Autosome
SECISBP2L	-1.6468201	-0.93869885	-1.30777854	Autosome	Autosome
SECTM1	-4.36202605	-0.0119503	-0.86813478	Autosome	Autosome
SEH1L	-6.11452588	-2.06687912	-2.94751896	Autosome	Autosome
SEL1L	-1.85275542	-1.08975695	-1.44670323	Autosome	Autosome
SEL1L2	-6.14466297	-2.19919456	-3.75378431	Autosome	Autosome
SEL1L3	-1.90406958	-1.24032997	-1.53491103	Autosome	Autosome
SELE	-5.80900414	-1.60166882	-2.17977596	Autosome	Autosome
SELENBP1	-6.05762752	-1.87972248	-2.74872673	Autosome	Autosome
SELK	-6.18778114	-1.86279534	-3.28781951	Autosome	Autosome
SELL	-5.82728363	-1.29634794	-1.88740882	Autosome	Autosome
SELM	-6.18632321	-1.97946458	-5.06330044	Autosome	Autosome
SELO	-6.10920132	-2.12817108	-2.98672824	Autosome	Autosome
SELP	-6.03738939	-2.14319757	-3.20623326	Autosome	Autosome
SELPLG	-6.18920216	-1.40269135	-3.53665259	Autosome	Autosome
SELT	-6.07158259	-1.52732336	-2.14668739	Autosome	Autosome
SELV	-6.14287984	-2.10646248	-4.28387742	Autosome	Autosome
SEMA3A	-1.81898206	-1.14575226	-1.45457852	Autosome	Autosome
SEMA3C	-2.99236141	-1.24957239	-1.79473587	Autosome	Autosome
SEMA3D	-3.98784871	-1.26803948	-1.89503221	Autosome	Autosome
SEMA3E	-2.06259594	-1.28264648	-1.58489861	Autosome	Autosome
SEMA3F	-1.62074586	-0.92149243	-1.29149014	Autosome	Autosome
SEMA3G	-6.00755461	-1.92720073	-2.73872696	Autosome	Autosome
SEMA4A	-1.94163047	-1.06836486	-1.47750424	Autosome	Autosome
SEMA4B	-1.95297486	-1.12067648	-1.52006798	Autosome	Autosome
SEMA4C	-3.8231093	-1.1343429	-1.78218953	Autosome	Autosome
SEMA4D	-1.28733128	-0.25545786	-0.78038195	Autosome	Autosome
SEMA4F	-6.04312476	-2.03789966	-3.14787741	Autosome	Autosome
SEMA4G	-6.12365009	-2.12527162	-3.20883337	Autosome	Autosome
SEMA5A	-1.96583386	-1.27997149	-1.57807507	Autosome	Autosome
SEMA5B	-5.77152477	-1.72519383	-2.46403533	Autosome	Autosome
SEMA6A	-1.45132125	-0.46266428	-0.95962684	Autosome	Autosome
SEMA6B	-1.94283176	-1.07099452	-1.48272287	Autosome	Autosome
SEMA6C	-2.3628904	-1.34754586	-1.69832045	Autosome	Autosome
SEMA6D	-1.13888985	-0.21606549	-0.66588308	Autosome	Autosome
SEMA7A	-1.36052345	-0.27606215	-0.81126159	Autosome	Autosome
SEMG1	-4.80132044	-0.0016958	-0.87336956	Autosome	Autosome
SEMG2	-5.8225413	-0.10058948	-1.03597055	Autosome	Autosome
SENP1	-1.35626589	-0.41826304	-0.93334073	Autosome	Autosome
SENP2	-0.98701022	-0.06404237	-0.45710939	Autosome	Autosome
SENP3	-1.01217888	-0.06557414	-0.47832492	Autosome	Autosome
SENP5	-1.34315047	-0.27322649	-0.81757378	Autosome	Autosome
SENP6	-1.66285086	-1.06364422	-1.38091426	Autosome	Autosome
SENP7	-1.90749571	-1.2880442	-1.55311182	Autosome	Autosome
SENP8	-6.16585516	-1.66591517	-2.46244276	Autosome	Autosome
SEP15	-5.92558621	-0.51125475	-1.43635445	Autosome	Autosome
SEPHS1	-1.46483815	-0.09483147	-0.7673802	Autosome	Autosome
SEPHS2	-4.19525414	-0.43692705	-1.4090844	Autosome	Autosome
SEPN1	-5.61020405	-1.42627588	-1.99360714	Autosome	Autosome
SEPP1	-6.14581113	-2.12831324	-3.0787806	Autosome	Autosome
SEPSECS	-5.52777013	-1.35878137	-1.9298108	Autosome	Autosome
SEPT10	-4.8118158	-0.98485813	-1.65545099	Autosome	Autosome
SEPT11	-1.17826336	-0.08317655	-0.52643461	Autosome	Autosome
SEPT12	-6.22486672	-2.36275994	-4.00068152	Autosome	Autosome
SEPT14	-6.02217638	-1.60025003	-2.37807905	Autosome	Autosome
SEPT2	-1.24042928	-0.08688187	-0.59837731	Autosome	Autosome
SEPT3	-1.47540515	-0.31676259	-0.89747848	Autosome	Autosome
SEPT4	-5.20848864	-1.22054869	-1.91982512	Autosome	Autosome
SEPT5	-1.25523859	-0.0906387	-0.6058555	Autosome	Autosome
SEPT7	-1.24237829	-0.08934263	-0.57701278	Autosome	Autosome
SEPT8	-4.28497958	-0.83858068	-1.57506026	Autosome	Autosome
SEPT9	-1.20492239	-0.08664836	-0.55281768	Autosome	Autosome
SEPW1	-6.08947954	-1.50921406	-2.28215273	Autosome	Autosome
SERAC1	-2.94970578	-1.2626546	-1.78852821	Autosome	Autosome
SERBP1	-1.45105398	-0.46406552	-0.98258554	Autosome	Autosome
SERF2	-5.45701253	-0.01406408	-0.91024332	Autosome	Autosome
SERGEF	-6.09821672	-2.48804576	-3.79699088	Autosome	Autosome
SERHL2	-6.09629603	-2.22881427	-2.98303713	Autosome	Autosome
SERINC1	-1.73422173	-0.56091851	-1.22206556	Autosome	Autosome
SERINC2	-6.05838266	-1.82177313	-2.86330821	Autosome	Autosome
SERINC3	-4.64586318	-0.97137201	-1.644904	Autosome	Autosome
SERINC4	-5.97765069	-1.72770042	-2.37894432	Autosome	Autosome
SERINC5	-2.43887471	-1.09545035	-1.5900855	Autosome	Autosome
SERP1	-5.84381808	-0.11090185	-1.0354253	Autosome	Autosome
SERP2	-5.83727869	-0.11441905	-1.05266804	Autosome	Autosome
SERPINA1	-6.20418612	-2.14595131	-3.46639931	Autosome	Autosome
SERPINA10	-6.16973092	-2.80071042	-5.19717947	Autosome	Autosome
SERPINA11	-6.07928705	-1.71753514	-2.35609773	Autosome	Autosome
SERPINA12	-6.16890036	-2.58927579	-4.39285586	Autosome	Autosome
SERPINA3	-6.18407618	-2.08723646	-3.23651097	Autosome	Autosome
SERPINA4	-6.09573855	-1.71718469	-2.39021781	Autosome	Autosome
SERPINA5	-6.12515079	-1.68700535	-2.3514141	Autosome	Autosome
SERPINA6	-6.09172657	-1.63273142	-2.2607589	Autosome	Autosome
SERPINA9	-6.13049043	-2.48894294	-3.40350928	Autosome	Autosome
SERPINB1	-6.14906983	-1.96174369	-3.17825772	Autosome	Autosome
SERPINB10	-6.09874205	-2.13487843	-3.24015819	Autosome	Autosome
SERPINB11	-6.15207091	-2.04373496	-3.86977131	Autosome	Autosome
SERPINB12	-6.10343725	-2.03060237	-3.47113909	Autosome	Autosome
SERPINB13	-6.12444175	-2.00140048	-3.03518711	Autosome	Autosome
SERPINB2	-6.14305918	-2.02181311	-3.11154136	Autosome	Autosome
SERPINB3	-6.14561467	-2.10641462	-3.82808923	Autosome	Autosome
SERPINB4	-6.18083258	-2.18330631	-3.43923857	Autosome	Autosome
SERPINB5	-3.33025139	-0.14167409	-1.20996981	Autosome	Autosome
SERPINB6	-6.05471625	-1.53436543	-2.14425403	Autosome	Autosome
SERPINB7	-6.19078759	-2.30723673	-3.4939534	Autosome	Autosome
SERPINB8	-6.2026215	-2.30217629	-3.89696092	Autosome	Autosome
SERPINB9	-6.15536691	-2.07787666	-3.36524636	Autosome	Autosome
SERPINC1	-1.19073583	-0.08438156	-0.55189696	Autosome	Autosome
SERPIND1	-5.94437735	-1.52135409	-2.08860228	Autosome	Autosome
SERPINE1	-5.46810884	-0.83883659	-1.60854931	Autosome	Autosome
SERPINE2	-1.72087679	-0.34877731	-1.08731173	Autosome	Autosome
SERPINE3	-1.72542537	-0.33800356	-1.03448709	Autosome	Autosome
SERPINF1	-6.00214458	-1.65492428	-2.42369011	Autosome	Autosome
SERPINF2	-2.3075306	-0.7404164	-1.42878675	Autosome	Autosome
SERPING1	-1.46339476	-0.09214405	-0.66294109	Autosome	Autosome
SERPINH1	-2.28583195	-0.48909223	-1.3346168	Autosome	Autosome
SERPINI1	-1.66853789	-0.33342653	-1.03241835	Autosome	Autosome
SERPINI2	-6.12944786	-2.05141961	-4.01717956	Autosome	Autosome
SERTAD1	-5.73939593	-0.07882319	-1.02532504	Autosome	Autosome
SERTAD2	-2.5637307	-0.00187181	-0.84270946	Autosome	Autosome
SERTAD3	-6.10179956	-1.14672384	-1.85803641	Autosome	Autosome
SERTAD4	-6.08761028	-2.08003707	-3.00645031	Autosome	Autosome
SERTM1	-6.11542023	-0.2563736	-1.20779322	Autosome	Autosome
SESN1	-2.23197637	-0.91370902	-1.47472989	Autosome	Autosome
SESN2	-5.8996239	-1.58468037	-2.34614099	Autosome	Autosome
SESN3	-1.74205138	-0.73819488	-1.26703744	Autosome	Autosome
SESTD1	-1.22234922	-0.24589006	-0.74641053	Autosome	Autosome
SET	-1.47271511	-0.09980007	-0.66979498	Autosome	Autosome
SETBP1	-0.93999777	-0.05655016	-0.39536158	Autosome	Autosome
SETD1A	-1.03043455	-0.17590985	-0.58377243	Autosome	Autosome
SETD2	-1.3431626	-0.76477111	-1.06834462	Autosome	Autosome
SETD3	-1.4510978	-0.46107391	-1.01213105	Autosome	Autosome
SETD4	-6.20152107	-2.33675748	-3.69606039	Autosome	Autosome
SETD5	-0.98385063	-0.16657376	-0.57347921	Autosome	Autosome
SETD6	-6.22825039	-2.40732255	-3.72775056	Autosome	Autosome
SETD7	-6.09444097	-1.80018623	-2.65684063	Autosome	Autosome
SETD8	-1.27550754	-0.09231199	-0.62543483	Autosome	Autosome
SETD9	-6.20908854	-2.24237043	-3.62750551	Autosome	Autosome
SETDB1	-1.40132045	-0.71611606	-1.05947012	Autosome	Autosome
SETDB2	-2.06952281	-1.23235536	-1.57867239	Autosome	Autosome
SETMAR	-6.10476959	-1.87264512	-3.00815085	Autosome	Autosome
SETX	-1.61955622	-1.15163983	-1.39243082	Autosome	Autosome
SEZ6	-3.40804749	-1.28021869	-1.85458832	Autosome	Autosome
SEZ6L	-2.02419217	-1.21018515	-1.56911085	Autosome	Autosome
SEZ6L2	-2.81518528	-1.25631035	-1.73378393	Autosome	Autosome
SF1	-1.17648679	-0.08320808	-0.62132968	Autosome	Autosome
SF3A1	-1.76094619	-0.94376872	-1.35686064	Autosome	Autosome
SF3A2	-1.43811668	-0.09825103	-0.69869756	Autosome	Autosome
SF3A3	-0.96583301	-0.05941584	-0.40734863	Autosome	Autosome
SF3B1	-0.79729338	-0.0421966	-0.31934011	Autosome	Autosome
SF3B14	-3.19766175	-0.00727123	-0.84308343	Autosome	Autosome
SF3B2	-5.43268266	-1.63022764	-2.1729749	Autosome	Autosome
SF3B3	-1.31485411	-0.58523861	-0.97884697	Autosome	Autosome
SF3B4	-1.30862529	-0.09224748	-0.62600425	Autosome	Autosome
SF3B5	-5.96844852	-0.18022625	-1.13655448	Autosome	Autosome
SFI1	-5.6634934	-2.03359308	-2.95286632	Autosome	Autosome
SFMBT1	-1.66817312	-0.89569984	-1.32110034	Autosome	Autosome
SFMBT2	-0.89830335	-0.05477769	-0.39799911	Autosome	Autosome
SFN	-1.58600682	-0.0857323	-0.70989231	Autosome	Autosome
SFPQ	-1.03135876	-0.06844472	-0.44762053	Autosome	Autosome
SFR1	-6.19893035	-2.11045593	-3.52220044	Autosome	Autosome
SFRP1	-1.99376001	-0.01225139	-0.80909052	Autosome	Autosome
SFRP2	-2.93738255	-0.14849814	-1.19273796	Autosome	Autosome
SFRP4	-5.72642013	-1.05928876	-1.71937013	Autosome	Autosome
SFRP5	-6.16124062	-2.04221492	-2.96749618	Autosome	Autosome
SFSWAP	-1.24029271	-0.24661366	-0.76608862	Autosome	Autosome
SFT2D1	-6.16522927	-2.19625565	-3.77336778	Autosome	Autosome
SFT2D2	-6.09949807	-1.7370505	-3.0285009	Autosome	Autosome
SFT2D3	-6.161934	-0.30685629	-1.26413246	Autosome	Autosome
SFTA2	-6.01930763	-0.2041947	-1.11669859	Autosome	Autosome
SFTA3	-5.55546628	-0.03177765	-0.97396541	Autosome	Autosome
SFTPA1	-5.79920986	-0.44136061	-1.40969917	Autosome	Autosome
SFTPA2	-4.45589078	-0.01060863	-0.89697502	Autosome	Autosome
SFTPB	-5.86057494	-1.42535723	-2.11464054	Autosome	Autosome
SFTPC	-5.49306647	-0.61951944	-1.49683839	Autosome	Autosome
SFTPD	-5.83868477	-1.28456382	-1.87553336	Autosome	Autosome
SFXN1	-4.79061357	-0.86283031	-1.60163451	Autosome	Autosome
SFXN2	-6.14563012	-2.60955888	-4.02457738	Autosome	Autosome
SFXN3	-6.04292859	-2.11637337	-3.30594067	Autosome	Autosome
SFXN4	-5.75822973	-1.56147205	-2.13711629	Autosome	Autosome
SFXN5	-6.13395503	-2.1483406	-3.43792684	Autosome	Autosome
SGCA	-5.1815681	-0.74220346	-1.54686283	Autosome	Autosome
SGCB	-6.12697659	-1.89752973	-3.03306216	Autosome	Autosome
SGCD	-3.26314612	-0.67210151	-1.49305505	Autosome	Autosome
SGCE	-6.05412166	-1.99045999	-2.9206796	Autosome	Autosome
SGCG	-5.90568786	-1.35700451	-1.93371688	Autosome	Autosome
SGCZ	-6.13545397	-2.09895717	-2.97467581	Autosome	Autosome
SGIP1	-1.35691246	-0.41666568	-0.93107202	Autosome	Autosome
SGK1	-5.54253556	-1.43597198	-2.01115841	Autosome	Autosome
SGK2	-6.15822731	-2.12992787	-3.15883777	Autosome	Autosome
SGK223	-6.02260567	-2.09778171	-3.27591729	Autosome	Autosome
SGK3	-3.41156378	-1.14582209	-1.71411875	Autosome	Autosome
SGK494	-6.1584247	-2.5115298	-3.68455369	Autosome	Autosome
SGMS1	-1.14847598	-0.07601573	-0.59747544	Autosome	Autosome
SGMS2	-2.17597525	-0.92732907	-1.47155033	Autosome	Autosome
SGOL1	-5.97795743	-1.74964709	-2.37539361	Autosome	Autosome
SGOL2	-2.66514792	-1.2699848	-1.71839131	Autosome	Autosome
SGPL1	-1.85436324	-0.88739014	-1.35622558	Autosome	Autosome
SGPP1	-3.36654179	-0.39383202	-1.37086767	Autosome	Autosome
SGPP2	-5.49943494	-0.61708675	-1.48733926	Autosome	Autosome
SGSH	-4.40119467	-0.85332591	-1.58750311	Autosome	Autosome
SGSM1	-1.99951036	-1.29740668	-1.59553613	Autosome	Autosome
SGSM2	-5.66346624	-1.53841088	-2.21185856	Autosome	Autosome
SGSM3	-4.61495651	-1.27244307	-1.96100626	Autosome	Autosome
SGTA	-1.35640143	-0.0996611	-0.65172552	Autosome	Autosome
SGTB	-1.64300052	-0.33393613	-1.04416232	Autosome	Autosome
SH2B1	-1.36074124	-0.27833458	-0.84650479	Autosome	Autosome
SH2B3	-3.83643844	-0.96106933	-1.61552637	Autosome	Autosome
SH2D1B	-6.07310557	-1.52961594	-2.25163738	Autosome	Autosome
SH2D2A	-5.96735942	-1.53923447	-2.09968969	Autosome	Autosome
SH2D3A	-6.03843556	-2.00337393	-3.50410609	Autosome	Autosome
SH2D3C	-3.62474333	-1.22883663	-1.78150838	Autosome	Autosome
SH2D4A	-6.04273868	-2.25991359	-3.21864883	Autosome	Autosome
SH2D4B	-6.1614525	-2.24829503	-3.56100151	Autosome	Autosome
SH2D5	-6.08305359	-1.91824093	-3.04374282	Autosome	Autosome
SH2D6	-6.14650145	-2.07562215	-4.42949131	Autosome	Autosome
SH2D7	-6.01832396	-1.71523628	-2.3563495	Autosome	Autosome
SH3BGR	-5.67462779	-0.6717742	-1.51939514	Autosome	Autosome
SH3BGRL2	-6.14145108	-1.95813444	-4.42115126	Autosome	Autosome
SH3BGRL3	-2.17011853	-0.00790769	-0.83109797	Autosome	Autosome
SH3BP1	-3.17116773	-0.96557297	-1.61065285	Autosome	Autosome
SH3BP2	-6.03330818	-1.9982584	-3.01316733	Autosome	Autosome
SH3BP4	-1.71980165	-0.73006613	-1.23816565	Autosome	Autosome
SH3BP5	-1.26535748	-0.08931196	-0.57217196	Autosome	Autosome
SH3BP5L	-1.70398738	-0.54852528	-1.1666571	Autosome	Autosome
SH3D19	-2.52324835	-1.38504659	-1.76033443	Autosome	Autosome
SH3D21	-5.99093558	-1.8350946	-2.58768541	Autosome	Autosome
SH3GL1	-5.48294285	-1.13783205	-1.7590915	Autosome	Autosome
SH3GL2	-4.89709395	-1.14859757	-1.75116757	Autosome	Autosome
SH3GL3	-5.76022508	-1.47801151	-2.05106889	Autosome	Autosome
SH3GLB1	-1.365166	-0.09655919	-0.671329	Autosome	Autosome
SH3GLB2	-5.96136875	-1.56838122	-2.13823961	Autosome	Autosome
SH3PXD2A	-1.8040839	-1.06932836	-1.42561683	Autosome	Autosome
SH3PXD2B	-1.97081079	-1.12490978	-1.50086578	Autosome	Autosome
SH3RF1	-1.84284936	-0.97466166	-1.41341651	Autosome	Autosome
SH3RF2	-6.13930654	-2.18866331	-3.57409817	Autosome	Autosome
SH3RF3	-1.48402795	-0.32299837	-0.91035041	Autosome	Autosome
SH3TC1	-6.12168873	-2.39264686	-3.28360465	Autosome	Autosome
SH3TC2	-5.95190397	-2.07354231	-2.8936624	Autosome	Autosome
SH3YL1	-6.08127157	-2.09665171	-3.231462	Autosome	Autosome
SHANK1	-1.40759065	-0.72319413	-1.08726039	Autosome	Autosome
SHANK2	-1.50859504	-0.89205826	-1.21334516	Autosome	Autosome
SHANK3	-0.96928638	-0.05992848	-0.39284417	Autosome	Autosome
SHARPIN	-5.75244056	-1.23954599	-1.83673569	Autosome	Autosome
SHB	-2.02570443	-0.55017681	-1.29908905	Autosome	Autosome
SHBG	-6.14725262	-2.11311439	-3.13962931	Autosome	Autosome
SHC1	-1.9846655	-0.79251594	-1.37883781	Autosome	Autosome
SHC2	-6.06973409	-1.88993918	-2.81135053	Autosome	Autosome
SHC3	-3.37380629	-0.94622312	-1.60749124	Autosome	Autosome
SHC4	-4.13583824	-1.2695842	-1.82245469	Autosome	Autosome
SHCBP1	-6.1995101	-2.31285947	-3.60996777	Autosome	Autosome
SHCBP1L	-6.14814279	-2.23602118	-3.75717844	Autosome	Autosome
SHD	-6.00643586	-1.54390307	-2.13544517	Autosome	Autosome
SHE	-1.15802433	-0.08154767	-0.51092455	Autosome	Autosome
SHF	-4.81542304	-0.99414003	-1.66056765	Autosome	Autosome
SHFM1	-5.55655142	-0.02302767	-0.98584998	Autosome	Autosome
SHH	-1.6432327	-0.07597194	-0.73282892	Autosome	Autosome
SHISA2	-1.9864144	-0.01562795	-0.78309071	Autosome	Autosome
SHISA3	-6.04153172	-1.04412821	-1.76853904	Autosome	Autosome
SHISA4	-6.10876341	-1.65629565	-2.5748731	Autosome	Autosome
SHISA5	-6.1875357	-2.31547297	-3.45282473	Autosome	Autosome
SHISA6	-1.51636185	-0.09960012	-0.79329366	Autosome	Autosome
SHISA7	-5.69930049	-0.08065751	-1.04096097	Autosome	Autosome
SHISA9	-3.62317815	-0.19094471	-1.29624023	Autosome	Autosome
SHKBP1	-4.68993352	-1.2154649	-1.88409952	Autosome	Autosome
SHMT1	-6.11276935	-2.11283806	-3.27982275	Autosome	Autosome
SHMT2	-4.42222237	-1.18823578	-1.84784843	Autosome	Autosome
SHOC2	-1.26208443	-0.09288512	-0.60433782	Autosome	Autosome
SHOX2	-5.97822029	-1.34769684	-1.92988926	Autosome	Autosome
SHPRH	-1.78940747	-1.3363236	-1.53890437	Autosome	Autosome
SHQ1	-6.16542428	-2.21712056	-3.59091391	Autosome	Autosome
SHROOM1	-5.2558617	-1.15541506	-1.77146082	Autosome	Autosome
SHROOM3	-6.02297565	-2.59791226	-3.62326849	Autosome	Autosome
SI	-5.21631974	-1.78190471	-2.77004874	Autosome	Autosome
SIAE	-5.97242453	-1.73315485	-2.39830708	Autosome	Autosome
SIAH1	-1.32095813	-0.09466883	-0.60599004	Autosome	Autosome
SIAH2	-3.96195733	-0.00342968	-0.8283894	Autosome	Autosome
SIAH3	-6.14626715	-1.60217073	-2.29134386	Autosome	Autosome
SIDT1	-6.07173833	-2.16524222	-3.47691245	Autosome	Autosome
SIDT2	-2.26233806	-1.38963617	-1.70266079	Autosome	Autosome
SIGIRR	-5.49958285	-1.13417192	-1.75980801	Autosome	Autosome
SIGLEC1	-6.12268159	-2.7025571	-3.53546263	Autosome	Autosome
SIGLEC10	-5.92854145	-1.73665176	-2.48457668	Autosome	Autosome
SIGLEC11	-6.03942137	-2.00932907	-3.27205198	Autosome	Autosome
SIGLEC12	-6.29702793	-3.8806385	-5.58204416	Autosome	Autosome
SIGLEC14	-2.03689963	-0.28956267	-1.15309579	Autosome	Autosome
SIGLEC15	-3.58600453	-0.00625426	-0.83705463	Autosome	Autosome
SIGLEC6	-6.06584687	-1.7411922	-2.58266051	Autosome	Autosome
SIGLEC7	-6.13688727	-2.11951502	-3.31787005	Autosome	Autosome
SIGLEC8	-4.68072096	-0.98290763	-1.65027689	Autosome	Autosome
SIGLEC9	-6.16811729	-2.2184535	-3.58767028	Autosome	Autosome
SIGLECL1	-6.20289655	-2.03585898	-5.15979295	Autosome	Autosome
SIGMAR1	-5.89002746	-0.7877366	-1.59736701	Autosome	Autosome
SIK1	-1.40991471	-0.29868538	-0.88518083	Autosome	Autosome
SIK2	-1.65688063	-0.94784061	-1.32655716	Autosome	Autosome
SIK3	-1.41895712	-0.57737953	-1.05409962	Autosome	Autosome
SIKE1	-5.55368966	-0.61588069	-1.49165964	Autosome	Autosome
SIL1	-6.06059484	-1.78464814	-2.5947804	Autosome	Autosome
SIM1	-1.44362191	-0.46207519	-0.98281386	Autosome	Autosome
SIM2	-2.13354556	-1.02525791	-1.51344565	Autosome	Autosome
SIMC1	-5.96639138	-1.64526003	-2.35660775	Autosome	Autosome
SIN3A	-0.82452199	-0.04652082	-0.35219622	Autosome	Autosome
SIN3B	-2.17750025	-1.30675231	-1.64675865	Autosome	Autosome
SIPA1	-1.94654904	-1.00970246	-1.45488535	Autosome	Autosome
SIPA1L1	-1.32527058	-0.65386245	-1.00646242	Autosome	Autosome
SIPA1L2	-1.2774354	-0.56819943	-0.94798955	Autosome	Autosome
SIPA1L3	-1.7985156	-1.19435969	-1.47730353	Autosome	Autosome
SIRPA	-2.10270111	-0.77329591	-1.38426157	Autosome	Autosome
SIRPB1	-6.20680425	-2.26335352	-3.85438005	Autosome	Autosome
SIRPB2	-6.04064379	-1.43595033	-2.04801786	Autosome	Autosome
SIRPD	-6.21160472	-2.17986607	-4.25556961	Autosome	Autosome
SIRPG	-6.08064913	-2.19206637	-2.96506233	Autosome	Autosome
SIRT1	-1.83040476	-0.76843678	-1.3149523	Autosome	Autosome
SIRT2	-1.98608345	-0.78070842	-1.37464548	Autosome	Autosome
SIRT3	-6.16192237	-2.04399696	-3.17354428	Autosome	Autosome
