Gene	log10_ci_low	log10_ci_high	log10_map	group	group2
FAM83F	-5.59479302	-1.24369717	-1.83972178	Autosome	Autosome
FAM83G	-6.0121189	-1.78029169	-2.52304801	Autosome	Autosome
FAM83H	-6.08558843	-2.34555423	-3.43324232	Autosome	Autosome
FAM84A	-5.25888242	-0.01454524	-0.89840617	Autosome	Autosome
FAM84B	-6.14317042	-1.70307879	-2.57269259	Autosome	Autosome
FAM86A	-6.11911282	-2.01182389	-3.29504439	Autosome	Autosome
FAM86B1	-6.08822736	-2.36602312	-3.62478704	Autosome	Autosome
FAM86B2	-6.17616485	-1.92610188	-3.33924782	Autosome	Autosome
FAM86C1	-6.18974791	-2.28175378	-4.94693652	Autosome	Autosome
FAM89A	-6.21479725	-2.11426216	-4.26611729	Autosome	Autosome
FAM89B	-6.16139713	-0.94669526	-1.86859262	Autosome	Autosome
FAM8A1	-6.05162394	-1.78295419	-2.68712487	Autosome	Autosome
FAM90A1	-6.22220257	-2.3680134	-4.03574504	Autosome	Autosome
FAM91A1	-1.91973344	-1.17966232	-1.51970776	Autosome	Autosome
FAM92A1	-6.0534062	-1.90835595	-2.57252914	Autosome	Autosome
FAM92B	-6.23692767	-2.38647308	-3.89971296	Autosome	Autosome
FAM96A	-6.06086779	-1.55449062	-2.16573529	Autosome	Autosome
FAM96B	-5.39138262	-0.00885637	-0.95321132	Autosome	Autosome
FAM98A	-1.74917399	-0.85531343	-1.32247924	Autosome	Autosome
FAM98B	-2.02445399	-0.78362358	-1.36922591	Autosome	Autosome
FAM98C	-6.14510033	-2.12277496	-3.37346226	Autosome	Autosome
FAN1	-6.02704156	-1.99731417	-3.14388863	Autosome	Autosome
FANCA	-5.81185384	-1.9141562	-3.18520867	Autosome	Autosome
FANCC	-6.10488287	-2.10591022	-3.28232907	Autosome	Autosome
FANCD2	-5.75811235	-1.81697918	-2.98866742	Autosome	Autosome
FANCD2OS	-5.3967611	-0.00835656	-0.91985024	Autosome	Autosome
FANCE	-6.16004125	-2.24043437	-3.33945583	Autosome	Autosome
FANCF	-6.13529584	-0.28701888	-1.18445268	Autosome	Autosome
FANCG	-6.14010022	-2.2040536	-3.44312108	Autosome	Autosome
FANCI	-5.80591809	-1.84441352	-2.66234289	Autosome	Autosome
FANCL	-6.13727535	-2.14428126	-3.69729685	Autosome	Autosome
FANCM	-5.79892464	-2.06370278	-3.076411	Autosome	Autosome
FANK1	-6.13472874	-2.33332743	-3.78073114	Autosome	Autosome
FAP	-6.04184029	-2.0560231	-3.19360612	Autosome	Autosome
FAR1	-1.44598679	-0.30428651	-0.88982765	Autosome	Autosome
FAR2	-1.74797578	-0.55967819	-1.20661525	Autosome	Autosome
FARP1	-2.10289586	-1.34150082	-1.63689154	Autosome	Autosome
FARP2	-6.04308696	-2.07137306	-3.28745453	Autosome	Autosome
FARS2	-5.70449071	-1.33340969	-1.91254769	Autosome	Autosome
