gene	GO_BP_count	GO_BP_count_400_auc	GO_BP_count_400_auc_decile
HGNC:11175	100	2	7
HGNC:11177	69	2	7
HGNC:11178	36	2	7
HGNC:11179	242	11	10
HGNC:1118	96	2	7
HGNC:11180	190	4	10
HGNC:11181	22	0	1
HGNC:11182	9	0	1
HGNC:11183	53	1	4
HGNC:11184	34	2	7
HGNC:11185	217	8	10
HGNC:11186	84	6	10
HGNC:11187	129	6	10
HGNC:11188	56	2	7
HGNC:11189	123	3	9
HGNC:1119	117	3	9
HGNC:11190	175	4	10
HGNC:11191	188	7	10
HGNC:11192	126	4	10
HGNC:11193	93	2	7
HGNC:11194	121	3	9
HGNC:11195	172	6	10
HGNC:11196	129	5	10
HGNC:11197	76	1	4
HGNC:11198	104	3	9
HGNC:1120	31	1	4
HGNC:11200	249	7	10
HGNC:11201	86	4	10
HGNC:11203	164	4	10
HGNC:11204	300	10	10
HGNC:11205	134	3	9
HGNC:11206	195	5	10
HGNC:11207	73	1	4
HGNC:11208	122	7	10
HGNC:11209	50	0	1
HGNC:1121	111	2	7
HGNC:11210	20	1	4
HGNC:11212	23	2	7
HGNC:11214	22	2	7
HGNC:11215	5	0	1
HGNC:11216	0	0	1
HGNC:11217	26	2	7
HGNC:11219	49	0	1
HGNC:1122	23	0	1
HGNC:11220	18	1	4
HGNC:11226	57	2	7
HGNC:1123	71	0	1
HGNC:11231	38	2	7
HGNC:11233	74	4	10
HGNC:11237	41	0	1
HGNC:11240	243	8	10
HGNC:11241	259	8	10
HGNC:11242	68	1	4
HGNC:11243	95	1	4
HGNC:11244	161	5	10
HGNC:11245	65	3	9
HGNC:11246	97	5	10
HGNC:11247	98	5	10
HGNC:11248	61	2	7
HGNC:11249	94	4	10
HGNC:1125	51	0	1
HGNC:11250	64	3	9
HGNC:11251	74	4	10
HGNC:11252	50	1	4
HGNC:11253	53	2	7
HGNC:11254	41	1	4
HGNC:11255	192	5	10
HGNC:11256	44	2	7
HGNC:11257	22	1	4
HGNC:11259	26	0	1
HGNC:11260	26	0	1
HGNC:11261	24	1	4
HGNC:11262	13	0	1
HGNC:11264	13	0	1
HGNC:11265	26	0	1
HGNC:11266	13	0	1
HGNC:11267	13	0	1
HGNC:11268	30	1	4
HGNC:11269	137	4	10
HGNC:11270	200	6	10
HGNC:11272	85	3	9
HGNC:11273	29	1	4
HGNC:11274	29	1	4
HGNC:11275	101	4	10
HGNC:11276	52	1	4
HGNC:11277	48	3	9
HGNC:11278	49	3	9
HGNC:11279	33	2	7
HGNC:11280	202	6	10
HGNC:11281	95	0	1
HGNC:11283	397	17	10
HGNC:11284	77	7	10
HGNC:11285	62	4	10
HGNC:11289	214	7	10
HGNC:11290	157	6	10
HGNC:11291	249	12	10
HGNC:11292	152	3	9
HGNC:11295	10	0	1
HGNC:11296	21	0	1
HGNC:11298	55	1	4
HGNC:11299	24	1	4
HGNC:1130	136	3	9
HGNC:11300	31	1	4
HGNC:11301	60	3	9
HGNC:11302	26	1	4
HGNC:11303	24	1	4
HGNC:11304	78	2	7
HGNC:11305	90	3	9
HGNC:11306	112	3	9
HGNC:11307	24	1	4
HGNC:1131	169	6	10
HGNC:11312	147	3	9
HGNC:11313	67	1	4
HGNC:11316	63	2	7
HGNC:11317	55	0	1
HGNC:11319	0	0	1
HGNC:1132	14	0	1
HGNC:11320	116	3	9
